,Zth Estimation Error,Gt,Va Magnitude,Vb Magnitude,Vc Magnitude
0,0.2974192933939278,173.20508075688772,0.9649875421239182,0.9710002094582257,0.9630847618533808
1,0.2974192933939278,173.20508075688772,0.9651341536015364,0.9726932281936191,0.9612015890192157
2,0.2771050041908766,180.2335003364985,0.9662976326332243,0.9705928793044775,0.9603763579596345
3,0.25647361522737294,179.26494935553742,0.967461724953197,0.9745412208126388,0.9667694181998124
4,0.23970156812706725,179.1937605534687,0.9655515225390777,0.9745724519255955,0.9671931597447683
5,0.22042029468784394,179.23908557426253,0.9677988200449781,0.9795361311554469,0.9633483987313646
6,0.21492167289532754,186.33635605479537,0.9652859043333333,0.975978743987324,0.9655968186225931
7,0.21045234467250962,190.78550776632284,0.9678784814495366,0.9714737645817579,0.9658323458894575
8,0.20614450750490673,183.83523758013143,0.9746502887127977,0.976663127970916,0.9747580504105595
9,0.201831346959058,187.79608846674682,0.9733366870433516,0.9784358267466997,0.9712286517206484
10,0.19858019845470987,192.41415737211517,0.9734383006107642,0.9770691112622705,0.9721289301222348
11,0.19711562237761449,198.10965998940057,0.9753538820036266,0.9769482189267932,0.9756759489911746
12,0.19317980046009306,200.44778335183753,0.97005147027004,0.977650261208161,0.9713209770200428
13,0.18555905442093062,201.42177698035457,0.9753109382703428,0.9781841701673556,0.9665664002945539
14,0.18096285359319825,206.30512298923702,0.96710084376329,0.9722501418081038,0.9553457811758858
15,0.1496888182326601,187.03441220924125,0.9640287090915274,0.9673640181338101,0.9665861678296636
16,0.14751511553395721,192.72146738106014,0.9673222882708471,0.9661887688801326,0.9654789198793798
17,0.14445622999853563,197.859841706741,0.965557818061915,0.9684498247124493,0.960290065587265
18,0.15555062771147724,202.67202150842573,0.976128541345108,0.9809932820965027,0.9768818253874395
19,0.14818734542130393,198.32030321212943,0.977528719159818,0.9809019792266112,0.9795289216297649
20,0.14494012105205178,200.8184249872028,0.9823527558660856,0.9800592889338221,0.9736587176063191
21,0.13534324571695155,193.28351916097472,0.9716340403595499,0.9859581065829307,0.9833372834752024
22,0.12757240688090046,193.1942169827258,0.9797794685300296,0.9771672035045439,0.9762444799376423
23,0.12281662369370001,193.8533721499725,0.9756279176757913,0.9822175351171535,0.9738954511197552
24,0.1237396701000332,200.1204878879962,0.9774357034875614,0.9866357071237238,0.9791579787848169
25,0.12180226271716528,207.72426853167505,0.982128256776269,0.985400114199383,0.9750432387810123
26,0.11881023707462646,214.29623013825858,0.9850274390691548,0.9811148690402588,0.9744483626978698
27,0.11489822782966073,213.49859294474047,0.9761924402242413,0.9846167104173406,0.9803767825188134
28,0.11404078369934824,222.55112437814196,0.9780776502936628,0.9868856542890357,0.9791925872187576
29,0.13907025452539173,224.766297053376,0.9678241944242293,0.9712004828137006,0.9604500719925783
30,0.12160237426793902,218.0613374518539,0.9696287071062571,0.973912356360507,0.9653658622170352
31,0.11960908167849994,221.29968494709226,0.9671142192080696,0.9725593754841626,0.9652336392957835
32,0.11685446671773908,217.79717270911982,0.9653076125362067,0.9719394807967408,0.9628472769770873
33,0.11885007950760662,222.72004067488274,0.9509104210027526,0.9603286239704778,0.9488774372574711
34,0.1135809118930625,227.17049165238146,0.9437937780008202,0.9615968211297504,0.9517412970252223
35,0.10624396285765138,226.96426313623238,0.9500332510326794,0.962433171004289,0.9469533875731924
